	"fl"	"kissimmee"	FALSE
	"tn"	"knoxville"	FALSE
	"wi"	"la-crosse"	FALSE
	"wa"	"lacey"	FALSE
	"fl"	"lady-lake"	FALSE
"~"	"in"	"lafayette"	FALSE
"~"	"la"	"lafayette"	TRUE
	"la"	"lake-charles"	FALSE
	"ca"	"lake-forest"	FALSE
	"fl"	"lakeland"	FALSE
"~"	"ca"	"lancaster"	FALSE
"~"	"pa"	"lancaster"	TRUE
	"mi"	"lansing"	FALSE
	"tx"	"laredo"	FALSE
	"nm"	"las-cruces"	FALSE
	"nv"	"las-vegas"	FALSE
	"ut"	"layton"	FALSE
	"fl"	"leesburg"	FALSE
	"ma"	"leominster"	FALSE
	"tx"	"lewisville"	FALSE
	"ne"	"lincoln"	FALSE
	"ar"	"little-rock"	FALSE
	"ca"	"long-beach"	FALSE
	"oh"	"lorain"	FALSE
	"ca"	"los-angeles"	FALSE
	"ky"	"louisville"	FALSE
	"tx"	"lubbock"	FALSE
	"va"	"lynchburg"	FALSE
	"ga"	"macon"	FALSE
	"wi"	"madison"	FALSE
	"nh"	"manchester"	FALSE
	"wa"	"marysville"	FALSE
	"sc"	"mauldin"	FALSE
	"pr"	"mayagüez"	FALSE
	"tx"	"mcallen"	FALSE
	"il"	"mchenry"	FALSE
	"tx"	"mckinney"	FALSE
	"or"	"medford"	FALSE
	"fl"	"melbourne"	FALSE
	"tn"	"memphis"	FALSE
	"ca"	"menifee"	FALSE
	"ca"	"merced"	FALSE
	"az"	"mesa"	FALSE
	"fl"	"miami"	FALSE
	"tx"	"midland"	FALSE
	"wi"	"milwaukee"	FALSE
	"mn"	"minneapolis"	FALSE
	"ca"	"mission-viejo"	FALSE
	"al"	"mobile"	FALSE
	"ca"	"modesto"	FALSE
	"la"	"monroe"	FALSE
	"ca"	"monterey"	FALSE
	"al"	"montgomery"	FALSE
	"tn"	"murfreesboro"	FALSE
	"ca"	"murrieta"	FALSE
	"mi"	"muskegon"	FALSE
	"sc"	"myrtle-beach"	FALSE
	"nh"	"nashua"	FALSE
	"tn"	"nashville"	FALSE
	"fl"	"navarre"	FALSE
	"ma"	"new-bedford"	FALSE
	"ct"	"new-haven"	FALSE
	"ct"	"new-london"	FALSE
	"la"	"new-orleans"	FALSE
	"ny"	"new-york"	FALSE
	"nj"	"newark"	FALSE
	"ny"	"newburgh"	FALSE
	"il"	"normal"	FALSE
	"ok"	"norman"	FALSE
	"fl"	"north-port"	FALSE
	"ct"	"norwich"	FALSE
	"ca"	"oakland"	FALSE
	"fl"	"ocala"	FALSE
	"tx"	"odessa"	FALSE
	"ut"	"ogden"	FALSE
	"ok"	"oklahoma-city"	FALSE
	"wa"	"olympia"	FALSE
	"ne"	"omaha"	FALSE
	"ut"	"orem"	FALSE
	"fl"	"orlando"	FALSE
	"ca"	"oxnard"	FALSE
	"fl"	"palm-bay"	FALSE
	"fl"	"palm-coast"	FALSE
	"ca"	"palmdale"	FALSE
	"fl"	"panama-city"	FALSE
	"wa"	"pasco"	FALSE
	"fl"	"pensacola"	FALSE
	"il"	"peoria"	FALSE
	"pa"	"philadelphia"	FALSE
	"az"	"phoenix"	FALSE
	"pa"	"pittsburgh"	FALSE
	"pr"	"ponce"	FALSE
	"tx"	"port-arthur"	FALSE
	"fl"	"port-charlotte"	FALSE
	"fl"	"port-orange"	FALSE
	"fl"	"port-st-lucie"	FALSE
"~"	"me"	"portland"	FALSE
"~"	"or"	"portland"	TRUE
	"pa"	"pottstown"	FALSE
	"ny"	"poughkeepsie"	FALSE
	"ri"	"providence"	FALSE
	"ut"	"provo"	FALSE
	"co"	"pueblo"	FALSE
	"wi"	"racine"	FALSE
